Alpha-3 code,Cancer code,Population code (ISO/UN),Country,Label,Sex,Number,95% UI low,95% UI high,ASR (World),Crude rate,Cumulative risk
AFG,6,004,4,Afghanistan,0,681,-,-,3.9,1.6,0.47
ALB,6,008,8,Albania,0,67,-,-,1.3,2.4,0.16
DZA,6,012,12,Algeria,0,388,-,-,0.84,0.83,0.10
AGO,6,024,24,Angola,0,647,-,-,3.4,1.7,0.42
ARG,6,032,32,Argentina,0,2017,-,-,2.7,4.4,0.32
ARM,6,051,51,Armenia,0,39,-,-,0.72,1.3,0.09
AUS,6,036,36,Australia,0,1517,-,-,2.4,5.7,0.28
AUT,6,040,40,Austria,0,424,-,-,1.9,4.7,0.24
AZE,6,031,31,Azerbaijan,0,407,-,-,3.2,3.9,0.37
BHS,6,044,44,Bahamas,0,10,-,-,1.6,2.5,0.24
BHR,6,048,48,Bahrain,0,13,-,-,1.1,0.81,0.13
BGD,6,050,50,Bangladesh,0,26855,-,-,17.1,15.5,2.0
BRB,6,052,52,Barbados,0,6,-,-,0.80,2.1,0.03
BLR,6,112,112,Belarus,0,537,-,-,3.2,5.9,0.40
BEL,6,056,56,Belgium,0,899,-,-,3.0,7.7,0.36
BLZ,6,084,84,Belize,0,3,-,-,0.92,0.72,0.13
BEN,6,204,204,Benin,0,222,-,-,2.9,1.5,0.40
BTN,6,064,64,Bhutan,0,40,-,-,5.4,5.1,0.62
BOL,6,068,68,Bolivia (Plurinational State of),0,130,-,-,1.3,1.1,0.14
BIH,6,070,70,Bosnia Herzegovina,0,85,-,-,1.1,2.7,0.14
BWA,6,072,72,Botswana,0,139,-,-,9.0,5.5,1.2
BRA,6,076,76,Brazil,0,11121,-,-,3.6,5.3,0.42
BRN,6,096,96,Brunei Darussalam,0,4,-,-,0.81,0.86,0.10
BGR,6,100,100,Bulgaria,0,223,-,-,1.6,3.3,0.20
BFA,6,854,854,Burkina Faso,0,290,-,-,2.7,1.2,0.34
BDI,6,108,108,Burundi,0,425,-,-,7.2,3.0,0.85
KHM,6,116,116,Cambodia,0,261,-,-,1.7,1.5,0.20
CMR,6,120,120,Cameroon,0,156,-,-,1.2,0.54,0.14
CAN,6,124,124,Canada,0,2533,-,-,2.6,6.4,0.31
CPV,6,132,132,Cape Verde,0,19,-,-,3.7,3.6,0.47
CAF,6,140,140,Central African Republic,0,50,-,-,2.5,0.94,0.34
TCD,6,148,148,Chad,0,235,-,-,2.3,1.2,0.24
CHL,6,152,152,Chile,0,701,-,-,1.6,3.6,0.17
CHN,6,156,156,China,0,172055,-,-,5.7,12.3,0.67
COL,6,170,170,Colombia,0,901,-,-,1.2,1.7,0.12
COM,6,174,174,Comoros,0,56,-,-,9.3,6.5,1.1
COD,6,180,180,"Congo, Democratic Republic of",0,3048,-,-,5.7,2.8,0.69
COG,6,178,178,"Congo, Republic of",0,14,-,-,0.45,0.22,0.07
CRI,6,188,188,Costa Rica,0,62,-,-,0.71,1.2,0.08
HRV,6,191,191,Croatia,0,169,-,-,1.8,4.4,0.22
CUB,6,192,192,Cuba,0,892,-,-,3.9,8.1,0.47
CUW,6,531,531,Curaçao,0,14,-,-,3.6,7.6,0.44
CYP,6,196,196,Cyprus,0,16,-,-,0.60,1.2,0.07
CZE,6,203,203,Czechia,0,594,-,-,2.6,5.5,0.32
CIV,6,384,384,"Côte d'Ivoire",0,185,-,-,1.2,0.58,0.10
DNK,6,208,208,Denmark,0,462,-,-,2.9,7.7,0.36
DJI,6,262,262,Djibouti,0,33,-,-,3.5,2.8,0.47
DOM,6,214,214,Dominican Republic,0,191,-,-,1.5,1.7,0.20
ECU,6,218,218,Ecuador,0,163,-,-,0.73,0.90,0.07
EGY,6,818,818,Egypt,0,1083,-,-,1.2,0.93,0.14
SLV,6,222,222,El Salvador,0,72,-,-,0.96,1.1,0.09
GNQ,6,226,226,Equatorial Guinea,0,15,-,-,1.1,0.79,0.14
ERI,6,232,232,Eritrea,0,77,-,-,3.4,2.2,0.42
EST,6,233,233,Estonia,0,87,-,-,2.9,6.4,0.39
SWZ,6,748,748,Eswatini,0,11,-,-,1.4,0.89,0.22
ETH,6,231,231,Ethiopia,0,1669,-,-,2.3,1.3,0.28
FJI,6,242,242,Fiji,0,17,-,-,1.9,1.8,0.19
FIN,6,246,246,Finland,0,375,-,-,2.5,6.7,0.31
FRA,6,250,250,France (metropolitan),0,4322,-,-,2.5,6.5,0.31
GLP,6,312,312,"France, Guadeloupe",0,24,-,-,2.7,6.4,0.34
REU,6,638,638,"France, La Réunion",0,53,-,-,3.4,6.0,0.41
MTQ,6,474,474,"France, Martinique",0,16,-,-,1.6,4.7,0.21
GUF,6,254,254,French Guyana,0,6,-,-,2.0,1.9,0.20
PYF,6,258,258,French Polynesia,0,12,-,-,2.6,4.3,0.29
GAB,6,266,266,Gabon,0,18,-,-,1.0,0.71,0.14
PSE,6,275,275,Gaza Strip and West Bank,0,24,-,-,0.72,0.44,0.08
GEO,6,268,268,Georgia,0,86,-,-,1.2,2.3,0.13
DEU,6,276,276,Germany,0,6722,-,-,3.0,8.0,0.37
GHA,6,288,288,Ghana,0,208,-,-,0.93,0.60,0.14
GRC,6,300,300,Greece,0,248,-,-,0.90,2.5,0.11
GUM,6,316,316,Guam,0,2,-,-,0.84,1.2,0.12
GTM,6,320,320,Guatemala,0,151,-,-,1.2,0.82,0.12
GIN,6,324,324,Guinea,0,44,-,-,0.58,0.30,0.07
GNB,6,624,624,Guinea-Bissau,0,14,-,-,1.2,0.64,0.13
GUY,6,328,328,Guyana,0,5,-,-,0.60,0.60,0.06
HTI,6,332,332,Haiti,0,202,-,-,2.3,1.7,0.28
HND,6,340,340,Honduras,0,91,-,-,1.3,0.84,0.15
HUN,6,348,348,Hungary,0,533,-,-,2.6,5.5,0.34
ISL,6,352,352,Iceland,0,21,-,-,2.7,5.3,0.31
IND,6,356,356,India,0,73260,-,-,4.9,5.1,0.60
IDN,6,360,360,Indonesia,0,1348,-,-,0.43,0.48,0.05
IRN,6,364,364,"Iran, Islamic Republic of",0,4601,-,-,4.3,5.0,0.50
IRQ,6,368,368,Iraq,0,202,-,-,0.76,0.44,0.09
IRL,6,372,372,Ireland,0,510,-,-,4.4,9.7,0.48
ISR,6,376,376,Israel,0,125,-,-,0.84,1.3,0.10
ITA,6,380,380,Italy,0,2109,-,-,1.2,3.6,0.14
JAM,6,388,388,Jamaica,0,70,-,-,2.1,2.5,0.20
JPN,6,392,392,Japan,0,12844,-,-,2.7,10.4,0.33
JOR,6,400,400,Jordan,0,37,-,-,0.44,0.32,0.05
KAZ,6,398,398,Kazakhstan,0,771,-,-,3.2,3.7,0.40
KEN,6,404,404,Kenya,0,2353,-,-,8.1,4.2,0.98
PRK,6,408,408,"Korea, Democratic People's Republic of",0,1774,-,-,4.1,6.7,0.52
KOR,6,410,410,"Korea, Republic of",0,1959,-,-,1.5,3.8,0.17
KWT,6,414,414,Kuwait,0,22,-,-,0.74,0.45,0.08
KGZ,6,417,417,Kyrgyzstan,0,188,-,-,3.1,2.6,0.36
LAO,6,418,418,"Lao People's Democratic Republic",0,48,-,-,0.81,0.62,0.10
LVA,6,428,428,Latvia,0,118,-,-,3.0,6.3,0.37
LBN,6,422,422,Lebanon,0,54,-,-,0.69,0.93,0.09
LSO,6,426,426,Lesotho,0,38,-,-,2.9,1.6,0.38
LBR,6,430,430,Liberia,0,39,-,-,1.3,0.69,0.12
LBY,6,434,434,Libya,0,51,-,-,0.79,0.69,0.10
LTU,6,440,440,Lithuania,0,195,-,-,3.5,6.8,0.45
LUX,6,442,442,Luxembourg,0,25,-,-,1.8,3.7,0.17
MDG,6,450,450,Madagascar,0,1632,-,-,8.8,5.1,1.1
MWI,6,454,454,Malawi,0,2162,-,-,20.1,10.0,2.4
MYS,6,458,458,Malaysia,0,543,-,-,1.4,1.5,0.18
MDV,6,462,462,Maldives,0,13,-,-,3.1,2.5,0.39
MLI,6,466,466,Mali,0,177,-,-,1.7,0.72,0.16
MLT,6,470,470,Malta,0,23,-,-,1.8,4.3,0.18
MRT,6,478,478,Mauritania,0,45,-,-,1.7,0.87,0.19
MUS,6,480,480,Mauritius,0,35,-,-,1.6,2.8,0.18
MEX,6,484,484,Mexico,0,1162,-,-,0.75,0.89,0.09
MNG,6,496,496,Mongolia,0,312,-,-,11.4,9.0,1.2
MNE,6,499,499,Montenegro,0,22,-,-,1.7,3.5,0.21
MAR,6,504,504,Morocco,0,256,-,-,0.61,0.67,0.07
MOZ,6,508,508,Mozambique,0,1531,-,-,9.3,4.4,1.1
MMR,6,104,104,Myanmar,0,2619,-,-,4.6,4.8,0.49
NAM,6,516,516,Namibia,0,53,-,-,2.9,1.8,0.30
NPL,6,524,524,Nepal,0,1898,-,-,7.2,6.4,0.90
NCL,6,540,540,New Caledonia,0,9,-,-,1.9,3.1,0.19
NZL,6,554,554,New Zealand,0,299,-,-,2.4,5.7,0.26
NIC,6,558,558,Nicaragua,0,38,-,-,0.67,0.55,0.07
NER,6,562,562,Niger,0,245,-,-,2.1,0.91,0.31
NGA,6,566,566,Nigeria,0,480,-,-,0.38,0.21,0.04
MKD,6,807,807,North Macedonia,0,36,-,-,0.97,2.0,0.13
NOR,6,578,578,Norway,0,297,-,-,2.2,5.3,0.27
OMN,6,512,512,Oman,0,26,-,-,1.0,0.49,0.14
PAK,6,586,586,Pakistan,0,3311,-,-,2.0,1.3,0.23
PAN,6,591,591,Panama,0,42,-,-,0.67,0.93,0.07
PNG,6,598,598,Papua New Guinea,0,393,-,-,6.5,3.7,0.70
PRY,6,600,600,Paraguay,0,173,-,-,2.7,2.5,0.32
PER,6,604,604,Peru,0,329,-,-,0.73,0.96,0.08
PHL,6,608,608,Philippines,0,911,-,-,0.94,0.79,0.12
POL,6,616,616,Poland,0,1844,-,-,2.3,4.8,0.30
PRT,6,620,620,Portugal,0,658,-,-,2.6,6.3,0.31
PRI,6,630,630,Puerto Rico,0,148,-,-,1.7,4.6,0.20
QAT,6,634,634,Qatar,0,8,-,-,0.97,0.26,0.06
MDA,6,498,498,Republic of Moldova,0,85,-,-,1.6,2.8,0.20
ROU,6,642,642,Romania,0,775,-,-,2.1,4.1,0.26
RUS,6,643,643,Russian Federation,0,10139,-,-,3.7,7.0,0.46
RWA,6,646,646,Rwanda,0,221,-,-,2.7,1.6,0.32
LCA,6,662,662,Saint Lucia,0,6,-,-,2.5,3.3,0.17
WSM,6,882,882,Samoa,0,0,-,-,0.00,0.00,0.00
STP,6,678,678,Sao Tome and Principe,0,0,-,-,0.00,0.00,0.00
SAU,6,682,682,Saudi Arabia,0,178,-,-,0.80,0.52,0.09
SEN,6,686,686,Senegal,0,145,-,-,1.4,0.78,0.15
SRB,6,688,688,Serbia,0,246,-,-,1.6,3.7,0.21
SLE,6,694,694,Sierra Leone,0,86,-,-,1.8,1.0,0.21
SGP,6,702,702,Singapore,0,150,-,-,1.5,2.6,0.17
SVK,6,703,703,Slovakia,0,324,-,-,3.0,5.9,0.38
SVN,6,705,705,Slovenia,0,92,-,-,1.8,4.3,0.21
SLB,6,090,90,Solomon Islands,0,6,-,-,1.3,0.73,0.11
SOM,6,706,706,Somalia,0,416,-,-,5.2,2.2,0.63
ZAF,6,710,710,South Africa,0,2261,-,-,3.7,3.5,0.45
SSD,6,728,728,South Sudan,0,239,-,-,3.7,2.0,0.46
ESP,6,724,724,Spain,0,2002,-,-,1.7,4.2,0.21
LKA,6,144,144,Sri Lanka,0,1464,-,-,4.1,6.3,0.52
SDN,6,729,729,Sudan,0,1123,-,-,4.1,2.2,0.58
SUR,6,740,740,Suriname,0,2,-,-,0.28,0.32,0.04
SWE,6,752,752,Sweden,0,564,-,-,2.0,5.3,0.25
CHE,6,756,756,Switzerland,0,512,-,-,2.1,5.7,0.26
SYR,6,760,760,Syrian Arab Republic,0,139,-,-,0.76,0.56,0.09
TJK,6,762,762,Tajikistan,0,129,-,-,2.0,1.2,0.20
TZA,6,834,834,"Tanzania, United Republic of",0,2617,-,-,7.9,3.8,0.95
THA,6,764,764,Thailand,0,2329,-,-,1.8,3.3,0.22
NLD,6,528,528,The Netherlands,0,2328,-,-,4.8,12.8,0.59
GMB,6,270,270,The Republic of the Gambia,0,28,-,-,2.0,1.0,0.22
TLS,6,626,626,Timor-Leste,0,6,-,-,0.56,0.43,0.07
TGO,6,768,768,Togo,0,79,-,-,1.5,0.83,0.17
TTO,6,780,780,Trinidad and Tobago,0,31,-,-,1.2,2.1,0.15
TUN,6,788,788,Tunisia,0,97,-,-,0.61,0.79,0.07
TKM,6,795,795,Turkmenistan,0,407,-,-,6.9,5.4,0.88
TUR,6,792,792,Türkiye,0,1820,-,-,1.5,2.1,0.18
UGA,6,800,800,Uganda,0,1999,-,-,10.2,4.0,1.2
UKR,6,804,804,Ukraine,0,2262,-,-,3.2,6.0,0.40
ARE,6,784,784,United Arab Emirates,0,65,-,-,1.5,0.59,0.18
GBR,6,826,826,United Kingdom,0,8853,-,-,4.9,12.8,0.56
USA,6,840,840,United States of America,0,16680,-,-,2.2,4.8,0.27
URY,6,858,858,Uruguay,0,250,-,-,3.7,7.4,0.45
UZB,6,860,860,Uzbekistan,0,1258,-,-,3.9,3.5,0.49
VUT,6,548,548,Vanuatu,0,3,-,-,1.5,0.92,0.13
VEN,6,862,862,Venezuela,0,369,-,-,0.99,1.3,0.12
VNM,6,704,704,Viet Nam,0,6467,-,-,5.2,6.4,0.63
YEM,6,887,887,Yemen,0,135,-,-,0.74,0.33,0.09
ZMB,6,894,894,Zambia,0,495,-,-,5.5,2.3,0.67
ZWE,6,716,716,Zimbabwe,0,1283,-,-,15.5,7.7,1.7
,,,,Total,,441843,,,4.0,5.5,0.48